교과목 이름,학년,이수구분,설강학과,선수강 과목,연결과목,교과목개요
창의캡스톤디자인1,3.0,전공심화,디자인테크놀로지전공,"논리학(컴퓨터전공), 시스템프로그래밍기초",,"본 수업에서는 ICT융합을 주제로 팀 프로젝트를 수행합니다. 수강 신청에 앞서 반드시 담당 교강사와 주제를 먼저 상담해야 하고, 학생의 관심 주제와 교강사가 잘 지도할 수 있는 주제가 잘 부합될 때만 수강하도록 합니다. [통합 개요] This course is for undergraduate students who are interested in building something new, better, or different. [통합 개요] 본 수업은 'ICT와 헬스케어의 융합 분야'인 디지털 헬스케어 및 의료 인공지능 등을 주제로 팀 프로젝트를 수행합니다.
 
학생은 교강사와 논의하여 주제를 선정하고, 해당 주제를 토대로 데이터 수집, 분석, 해석의 전반적인 과정을 통해 프로젝트를 진행합니다. [통합 개요] 팀 및 개인별 프로젝트 주제를 설정한 후 결과물까지 완성하여 발표하도록 함"
철강공정,4.0,전공핵심,재료화학공학과,,,"1) Why Iron and Steel?
- steel and society
- steel and sustainability

2) The “Iron and steel processing” course will cover ironmaking and steelmaking processes including 
- blast furnace ironmaking 
- basic oxygen furnace steelmaking
- secondary refining
- electric arc furnace steelmaking
- stainless steelmaking and refining 

3) All above processes are based on the 
- thermodynamics
- reaction kinetics
- transport phenomena
- multicomponent phase diagrams and phase equilibria "
철근콘크리트구조설계,3.0,전공심화,건설환경공학과,,,"건설 및 토목분야에서 가장 일반적으로 사용되는 철근콘크리트 구조물의 설계기법을 습득하기 위해 구조재료로의 철근 콘크리트의 개념 및 기초 물성에 대해 이해하고, 현재 국내 범용되고 있는 설계개념을 근거로 휨 부재, 전단부재 및 압축부재의 설계이론을 습득하여 실무활용능력을 향상하고자 함."
철근콘크리트구조설계2,4.0,전공심화,건축공학전공,철근콘크리트구조설계1,,"본 수업의 목표는 철근콘크리트 건축물의 상세한 설계 이론과 적용을 이해하는 것입니다. 따라서 학생들은 철근콘크리트 건축물의 내진설계를 포함한 상세한 설계과정 및 실재 사례를 이해할 수 있습니다.
강의 주제는 철근콘크리트 건축물 설계에 필요한 보, 기둥, 벽체, 슬래브, 기초, 단차, 비틀림 등의 구조적 거동 파악 등을 포함합니다. 또한 기존 철근콘크리트 건축물의 내진성능뿐만 아니라 철근콘크리트 구조시스템의 내진설계 방법도 포함됩니다."
철학입문,,교양선택,ERICA 대학,,,"본 교과목에서는 철학이 본디 어떠한 물음을 던져왔고, 어떻게 답을 찾아왔는지를 개관하고, 아울러 오늘날 우리의 철학적 과제가 무엇인지에 관하여 다룬다."
첨단기술과미래산업,4.0,전공심화,나노광전자학과,,,"현대의 첨단산업은 다양한 과학과 기술의 고도화됨에 따라서 지속적으로 발전해왔다. 본 강의에서는 반도체, 디스플레이, LED와 같은 정보화시대와 관련한 산업에 대해서 이론적인 배경을 역사적 순서와 기술의 중요성에 따라서 학습하도록 하며, 이에 관련한 필수적인 이론적인 지식과 공학적인 원리에 대해서 논의하도록 한다. 최종적으로는 수강생들이 선택된 주제에 대해서 자료수집, 해석 그리고 발전방향에 대해서 발표하도록 한다."
체육측정평가,2.0,전공핵심,스포츠코칭전공,,,체육현상에 관련된 영역을 측정하고 평가하는 방법을 습득하여 보다 과학적 지식을 현장에 적용하고 응용할 수 있는 능력을 기르는 데 목적이 있다. 이를 위하여 본 수업은 과학적인 측정방법에 의해 체육이 포함하는 여러 가지 요인에 대한 측정계획을 설계하고 평가할 수 있는 능력을 기르고자 한다.
초급영문독해,1.0,전공기초,영미언어·문화학과,,,"English divide라는 단어가 존재할 정도로 영어의 영향력은 진로에 막대한 영향을 미친다. 이 과목에서는 미국문화에 대한 다양한 article을 읽음으로써 영미문화에 대한 다양한 측면을 배우고 동시에 영어의 기초가 되는 영문해석, 단어, 문법구조, 문맥 파악에 대한 기초지식을 배우고자 한다.
첫째, 다양한 단어와 문법구조가 나타나는 영어문장을 커다란 문맥 속에서 파악하는 능력을 키움으로써, 문맥만으로도 단어의 의미를 추출할 수 있는 추론 능력을 키운다.
둘째, 문장의 해석은 단어의 결합만이 아님 앞뒤의 문장 속에서 창의력을 발휘해 해석해야 하는 상황도 알아본다.
셋째, 알고 있다고 생각하고 놓치기 쉬운 정확한 영어의 문법 구조를 살펴봄으로써, 명확한 해석능력을 키울 수 있게 한다.
넷째: 주어진 자료들을 이용하여 critical thinking skills를 기른다.
"
초급중국어,1.0,교양필수,ICT융합학부,,,"  글로벌 시대는 전문 어학능력을 바탕으로 국제적 안목을 두루 갖춘 전방위형 인재를 필요로 한다. ˂초급중국어˃는 한양대학교에서 G2교육 강화를 위해 기획한 교과목으로서, 미국과 대적할 만한 신흥강국으로 부상한 중국과의 교류에 있어 학생들이 능동적으로 자신의 활로를 개척해나가는 데 도움을 주고자 개설되었다. 본 교과목은 신입생 전체를 대상으로 하는 '공통기초필수' 과목인데, 이는 최근의 국제정세를 교육과정에 직접 반영하기 위한 선구적 기획의 일환이다. 본 강좌의 목적은 향후 한∙중 관계의 주역으로 성장할 미래세대가 핵심 중국어 회화 표현에 대해, 듣기∙말하기∙읽기∙쓰기를 체계적으로 훈련함으로써 초급 단계의 중국어 실력을 배양하고, 아울러 중국의 정치∙경제∙사회∙문화에 대한 기본 지식을 함양하는 것이다. 해당 강좌는 매주 1회, 2시간 강의로 구성되며, 총 2학점이 배정된다. [통합 개요] 글로벌 시대는 전문 어학 능력을 바탕으로 국제적 안목을 두루 갖춘 전방위형 인재를 필요로 한다. 미래의 주역이 될
우리 젊은 인재들에게 제2 외국어는 이제 더 이상 선택이 아닌 필수이다. 본 수업은 한양대학교에서 G2교육 강화를
위해 기획한 교과목으로서, 중국과의 교류에 있어 학생들이 능동적으로 자신의 활로를 개척해나가는 데 도움을 주고
자 개설되었다. 본 수업의 목적은 향후 한·중 관계의 주역으로 성장할 미래 세대가 핵심 중국어 회화 표현에 대해, 듣기
·말하기·읽기·쓰기를 체계적으로 훈련함으로써 초급 단계의 중국어 실력을 배양하고, 아울러 중국의 정치·경제·사회
·문화에 대한 기본 지식을 함양하는 것이다. 또한 중국의 국제적 입지와 한중 교류 현황을 고려할 때, 중국에 대한 이해
와 기초적인 중국어 학습해서 중국에 대한 이해를 돕고, 홋날 중국어가 필요한 상황에 처했을 때 주저 없이 중국어 학습을 
재개할 수 있도록 중국어에 대한 기초적인 지식을 체계적으로 다지는 것을 목적으로 한다. [통합 개요] 글로벌 시대는 전문 어학능력을 바탕으로 국제적 안목을 두루 갖춘 전방위형 인재를 필요로 한다. ˂초급중국어˃는 한양대학교에서 G2교육 강화를 위해 기획한 교과목으로서, 미국과 대적할 만한 신흥강국으로 부상한 중국과의 교류에 있어 학생들이 능동적으로 자신의 활로를 개척해나가는 데 도움을 주고자 개설되었다. 본 강좌의 목적은 향후 한∙중 관계의 주역으로 성장할 미래세대가 핵심 중국어 회화 표현에 대해, 듣기∙말하기∙읽기∙쓰기를 체계적으로 훈련함으로써 초급 단계의 중국어 실력을 배양하고, 아울러 중국의 정치∙경제∙사회∙문화에 대한 기본 지식을 함양하는 것이다. 해당 강좌는 매주 1회 2시간 강의로 구성되며 총 2학점이 배정된다.  [통합 개요] 글로벌 시대는 전문 어학능력을 바탕으로 국제적 안목을 두루 갖춘 전방위형 인재를 필요로 합니다. ˂초급중국어˃는 한양대학교에서 G2교육 강화를 위해 기획한 교과목으로, 미국과 대적할 만한 신흥강국으로 부상한 중국과의 교류에 있어 학생들이 능동적으로 자신의 활로를 개척해나가는 데 도움을 주고자 개설되었습니다. 본 강좌의 목적은 향후 한․중 관계의 주역으로 성장할 미래세대가 핵심 중국어 회화 표현에 대해, 듣기․말하기․읽기․쓰기를 체계적으로 훈련함으로써 초급 단계의 중국어 실력을 배양하고, 아울러 중국의 정치․경제․사회․문화에 대한 기본 지식을 함양하는 것입니다. [통합 개요] 초급중국어는 중국어를 처음 배우는 학생들을 대상으로 하는 중국어 입문 수업이다. 중국어 발음기호를 숙지하여 정확하게 발음할 수 있도록 하고 실생활용 기초 어휘와 문형들을 익히고 활용할 수 있도록 한다. 또한 기초 중국어 학습과 동시에 중국 문화를 배우면서 중국에 대해 이해의 폭을 넓혀 보다 흥미로운 학습을 할 수 있도록 한다. 특히 듣기와 말하기를 중심으로 반복적인 연습을 통해 기본적인 의사소통이 가능하도록 하는 것이다. 본 강좌의 목적은 글로벌 시대 전문 어학능력을 갖춘 인재양성의 기초를 마련하는 것이다.  [통합 개요] 글로벌 시대는 전문 어학능력을 바탕으로 국제적 안목을 두루 갖춘 전방위형 인재를 필요로 한다. 초급중국어는 한양 대학교에서 G2교육 강화를 위해 기획한 교과목으로서, 미국과 대적할 만한 신흥강국으로 부상한 중국과의 교류에 있 어 학생들이 능동적으로 자신의 활로를 개척해나가는 데 도움을 주고자 개설되었다. 본 강좌는 전공계열에 상관없이 필수적으로 학습해야 하는 입문과정 중국어 강좌로 신입생 전체를 대상으로 하는 '공통기초필수' 과목인데, 이는 최근의 국제정세를 교육과정에 직접 반영하기 위한 선구적 기획의 일환이다 . 본 강좌의 목적은 향후 한중 관계의 주역으로 성장할 미래세대가 핵심 중국어 회화 표현에 대해, 듣기말하기읽기쓰 기를 체계적으로 훈련함으로써 초급 단계의 중국어 실력을 배양한다.  [통합 개요] 글로벌 시대는 전문 어학능력을 바탕으로 국제적 안목을 두루 갖춘 전방위형 인재를 필요로 한다. ˂초급중국어˃는 한양대학교에서 G2교육 강화를 위해 기획한 교과목으로서, 미국과 대적할 만한 신흥강국으로 부상한 중국과의 교류에 있어 학생들이 능동적으로 자신의 활로를 개척해나가는 데 도움을 주고자 개설되었다. 본 교과목은 신입생 전체를 대상으로 하는 '공통기초필수' 과목인데, 이는 최근의 국제정세를 교육과정에 직접 반영하기 위한 선구적 기획의 일환이다. 본 강좌의 목적은 향후 한∙중 관계의 주역으로 성장할 미래세대가 핵심 중국어 회화 표현에 대해, 듣기∙말하기∙읽기∙쓰기를 체계적으로 훈련함으로써 초급 단계의 중국어 실력을 배양하고, 아울러 중국의 정치∙경제∙사회∙문화에 대한 기본 지식을 함양하는 것이다. [통합 개요] 글로벌 시대는 전문 어학능력을 바탕으로 국제적 안목을 두루 갖춘 전방위형 인재를 필요로 한다. ˂초급중국어˃는 한양대학교에서 G2교육 강화를 위해 기획한 교과목으로서, 미국과 대적할 만한 신흥강국으로 부상한 중국과의 교류에 있어 학생들이 능동적으로 자신의 활로를 개척해나가는 데 도움을 주고자 개설되었다. 본 교과목은 신입생 전체를 대상으로 하는 '공통기초필수' 과목인데, 이는 최근의 국제정세를 교육과정에 직접 반영하기 위한 선구적 기획의 일환이다. 본 강좌의 목적은 향후 한∙중 관계의 주역으로 성장할 미래세대가 핵심 중국어 회화 표현에 대해, 듣기∙말하기∙읽기∙쓰기를 체계적으로 훈련함으로써 초급 단계의 중국어 실력을 배양하고, 아울러 중국의 정치∙경제∙사회∙문화에 대한 기본 지식을 함양하는 것이다.  [통합 개요] 글로벌 시대는 전문 어학능력을 바탕으로 국제적 안목을 두루 갖춘 전방위형 인재를 필요로 한다. ˂초급중국어˃는 한양대학교에서 G2교육 강화를 위해 기획한 교과목으로서, 미국과 대적할 만한 신흥강국으로 부상한 중국과의 교류에 있어 학생들이 능동적으로 자신의 활로를 개척해나가는 데 도움을 주고자 개설되었다. 
본 교과목은 신입생 전체를 대상으로 하는 '공통기초필수' 과목인데, 이는 최근의 국제정세를 교육과정에 직접 반영하기 위한 선구적 기획의 일환이다. 
본 강좌의 목적은 향후 한∙중 관계의 주역으로 성장할 미래세대가 핵심 중국어 회화 표현에 대해, 듣기∙말하기∙읽기∙쓰기를 체계적으로 훈련함으로써 초급 단계의 중국어 실력을 배양하고, 아울러 중국의 정치∙경제∙사회∙문화에 대한 기본 지식을 함양하는 것이다. 
해당 강좌는 매주 1회, 2시간 강의로 구성되며, 총 2학점이 배정된다. [통합 개요] 표준 중국어를 배우는 교양 기초과정으로서 정확한 발음과 문장의 기본 구조 및 중국어 문법의 이론과 실제를 소개한다. 실제 말할 수 있는 중국어를 익히기 위해 반복연습과 회화 위주로 수업을 이끌어 갈 것이며, 이런 과정에서 학생들은 자연스럽게 중국어를 구사할 수 있는 기초 능력을 배양하게 될 것이다.  [통합 개요] 글로벌 시대는 전문 어학능력을 바탕으로 국제적 안목을 두루 갖춘 전방위형 인재를 필요로 한다. ˂초급중국어˃는 한양대학교에서 G2교육 강화를 위해 기획한 교과목으로서, 미국과 대적할 만한 신흥강국으로 부상한 중국과의 교류에 있어 학생들이 능동적으로 자신의 활로를 개척해나가는 데 도움을 주고자 개설되었다. 
본 교과목은 신입생 전체를 대상으로 하는 '공통기초필수' 과목인데, 이는 최근의 국제정세를 교육과정에 직접 반영하기 위한 선구적 기획의 일환이다. 
본 강좌의 목적은 향후 한∙중 관계의 주역으로 성장할 미래세대가 핵심 중국어 회화 표현에 대해, 듣기∙말하기∙읽기∙쓰기를 체계적으로 훈련함으로써 초급 단계의 중국어 실력을 배양하고, 아울러 중국의 정치∙경제∙사회∙문화에 대한 기본 지식을 함양하는 것이다. 
해당 강좌는 매주 1회, 3시간 강의로 구성되며, 총 3학점이 배정된다. [통합 개요] 글로벌 시대는 전문 어학능력을 바탕으로 국제적 안목을 두루 갖춘 전방위형 인재를 필요로 한다. ˂초급중국어˃는 한양대학교에서 G2교육 강화를 위해 기획한 교과목으로서, 미국과 대적할 만한 신흥강국으로 부상한 중국과의 교류에 있어 학생들이 능동적으로 자신의 활로를 개척해나가는 데 도움을 주고자 개설되었다.  [통합 개요] 글로벌 시대는 전문 어학능력을 바탕으로 국제적 안목을 두루 갖춘 전방위형 인재를 필요로 한다. ˂초급중국어˃는 한양대학교에서 G2교육 강화를 위해 기획한 교과목으로서, 미국과 대적할 만한 신흥강국으로 부상한 중국과의 교류에 있어 학생들이 능동적으로 자신의 활로를 개척해나가는 데 도움을 주고자 개설되었다. 본 교과목은 신입생 전체를 대상으로 하는 '공통기초필수' 과목으로, 이는 최근의 국제정세를 교육과정에 직접 반영하기 위한 선구적 기획의 일환이다. 본 강좌의 목적은 향후 한∙중 관계의 주역으로 성장할 미래세대의 '한양인'이 핵심 중국어 회화 표현에 대해, 듣기∙말하기∙읽기∙쓰기를 체계적으로 훈련함으로써 초급 단계의 중국어 실력을 배양하고, 아울러 중국의 정치∙경제∙사회∙문화에 대한 기본 지식을 함양하는 것이다. [통합 개요] 중국어를 처음 배우는 학생을 대상으로 중국어 발음과 성조를 학습하고 초보적인 어휘 표현과 어법을 숙지하여 일생생활위주의 기초적인 중국어 회화실력을 갖추도록 한다. [통합 개요] 글로벌 시대는 전문 어학능력을 바탕으로 국제적 안목을 두루 갖춘 전방위형 인재를 필요로 한다. ˂초급중국어˃는 한양대학교에서 G2교육 강화를 위해 기획한 교과목으로서, 미국과 대적할 만한 신흥강국으로 부상한 중국과의 교류에 있어 학생들이 능동적으로 자신의 활로를 개척해나가는 데 도움을 주고자 개설되었다. 본 강좌의 목적은 향후 한∙중 관계의 주역으로 성장할 미래세대가 핵심 중국어 회화 표현에 대해, 듣기∙말하기∙읽기∙쓰기를 체계적으로 훈련함으로써 초급 단계의 중국어 실력을 배양한다. 
"
초급중국어회화1,1.0,전공기초,중국학과,,,"이 강좌는 중국어를 전공으로 하는 학생들을 대상으로 정확한 발음을 기초로 회화능력을 함양하도록 지도하는 강좌이다.
중국어 학습의 시작은 발음으로부터 시작되며, 중국어 발음을 제대로 학습하는 것은 중국어 학습에 있어 절반의 성과를 거두었다고 할 수 있을 만큼 향후 중국어 학습의 중요한 학습기반이 된다. 때문에 정확한 발음을 기초로 한 유창한 말하기는 매우 중요하며, 이것은 교사의 적극적인 지도를 필요로 한다.
"
초급중국어회화2,1.0,전공기초,중국학과,"초급중국어 회화1, 초급중국어, 초급중국어 청취 c+ 이상",,"
초급수준의 중국어 학습자들이 말하기 실력을 향상시키고자 개설된 과목이다.
말하기에 있어 기본 적인 요소라 할 수 있는 발음과
문장을 만들기 위한 기본 구조의 학습에 초점을 맞춘다.

"
초급프랑스어강독,1.0,전공기초,프랑스학과,,,"이 강의는 프랑스어 텍스트를 통해 초급 프랑스어 독해 능력을 배양하는 것을 목표로 한다. 학생들은 기본적인 문법과 어휘를 학습하며, 다양한 주제의 프랑스어 텍스트를 읽고 이해하는 능력을 기른다. 
본 강의는 프랑스어 문학과 더불어 델프시험 A1/A2 수준에서 다루는 다양한 자료를 통해 학생들이 프랑스어 읽기와 이해력을 향상시킬 수 있도록 구성되어 있다. 이를 통해 학생들은 프랑스어 문장 독해력을 높이고, 프랑스문화를 더 깊이 이해하고, 프랑스어 읽기 능력을 체계적으로 발전시킬 수 있다.
"
초급프랑스어회화1,2.0,전공핵심,프랑스학과,,,"이 초급 회화 과정은 프랑스어에 대한 약간의 경험이 있고 프랑스어에 대한 기본 지식을 습득했지만 아직 프랑스어 사용에 완전히 익숙하지 않은 학생들을 위한 과정입니다. 목표는 이 입문 과정을 통해 프랑스어 학습 여정을 계속 이어나가는 것입니다.

목표는 모든 기술(주로 구두 표현과 이해력)을 연습하고 의사소통 능력을 향상시키는 것입니다. 교육 방식은 서면 및 오디오/비디오 문서를 기반으로 한 활동으로 구성됩니다. 학생들은 사회 생활의 다양한 분야에서 더 잘 이해하고 이해받을 수 있도록 말하기 능력을 향상시킬 수 있습니다.

이 수업은 표현(특히 구두)에 중점을 두기 때문에 학생들은 자신감 향상을 위해 가능한 한 많이 참여하도록 권장되며, 특히 최종 성적의 40%가 이 구두 참여로 구성될 때 더욱 그렇습니다. 수동적인 학습은 이 수업의 목표가 아닙니다.
"
초보자를위한인공지능활용,,교양선택,ERICA 대학,,,"기초적인 인공지능 정의과 원리를 설명하고 음성, 이미지, 영상등 다양한 데이터를 기반으로 데이터를 분류하고 인공지능을 학습시킴으로서 인공지능 시스템의 원리를 이해하고 이를 활용할 수 있는 다양한 인공지능 프로젝트를 직접 구현하여 문제해결력, 창의력, 응용력등을 배양한다. "
초우량기업의조건,,교양선택,ERICA 대학,,,15 분의 산업별 최고의 리더의 인생과 사업의 역정을 통하여 학생들이 다가올 미래사회를 미리 준비하도록 하는 것이다 
최적화이론및응용,4.0,전공심화,수리데이터사이언스학과,"미분적분학1, 미분적분학2, 선형대수",,"최적화는 공학 시스템(항공기, 자전거 프레임, 인공지능 시스템 등)의 설계에 깊이 연관되어 있다. 여기서 목적은 주어진 제약(비용, 무게 등) 하에서 특정 지표를(효율, 안전성, 정확성 등) 최적화 하도록 시스템을 설계하는 것이다. 이 강좌에서는 공학 시스템들의 설계를 위한 실용적인 알고리즘에 초점을 맞춰 최적화를 소개한다. "
축구1,2.0,전공심화,스포츠문화전공,,,"축구에 대한 전반적인 지식 습득과 기본적 기술(스킬 등)들의 실기 역량 배양을 할 뿐만 아니라, 기본적인 지도(티칭) 능력도 습득하는데 초점을 맞춘다.  [통합 개요] 대부분 간접적인 방법을 통해서 즐기던 축구를 현장에서 직접 실습함으로써 보다 실제적으로 접근할 수 있도록, 기회를 제공한다. 학생들의 축구 실기 수업을 통해서 신체적 능력을 향상시키는 것이 첫 번째 목표이다. 두 번째 목표는 축구 교과를 통해 신체활동의 필요성을 이해하고 대인 스포츠에서의 사회적 관계를 체득하는데 있다. 세 번째 목표는 축구에 대한 이론을 보다 명확하게 이해하여 실기 전문 지도자로서의 요건을 함양할 수 있는 학습을 학생들에게 제공하는 데 있다."
출판기획론,3.0,전공핵심,한국언어문학과,,," 이 강좌는 컨텐츠 기획에 대한 강좌이다.  사회에 진출한 학생들이 반드시 거쳐야 할 컨텐츠 작성과 기획보고서 작성에 대해 한 실전 강좌이다. 강의 타이틀은 출판 기획론이다. 그러나 출판사 잡지사는 물론이고 일반 기업이나 연구소 등에 입사한 후 마케팅, 경영, 일반 행정 업무 등 모든 사업계획을 세울 때 각종 보고서와 기획서를 어떻게 쓰느냐를 살펴보고 배우는 실용 과목이다.  주로 인문학 계통의 학생들이 이 수업을 듣지만 인문 비전공 학생들에게도 권할 만한 꼭 필요한 실용 과목이다. 실용문 글쓰기 수업도 과정 안에 들어 있다. 글쓰는 스킬이 중요한 것이 아니라 전체를 설계하고 기획하며 실행에 이르는 전 과정을 직접 훈련해 가며 실력을 키워가는 과목이다. 이 프로세스를 한 번 제대로 경험하면 그 어떤 기업에서의 어떤 도전도 능숙하게 적응해 낼 수 있다. "
취업역량과취업실전,4.0,교양선택,ERICA 대학,,,"- 취업은 절대 혼자 준비할 수 없습니다 ! 가속되는 경기불황의 영향으로 더 어려워진 취업시장에서 명확하게 취업방향을 정하는 것은 중요합니다. 
- 본 과목은 취업 준비에 최적화된 강의 입니다. 취업에 대한 의지가 있는 학생이 수강한다면 큰 도움이 될 것입니다. 
- 매 주 고정적으로 진행되는 교과목 강의의 강점을 최대한 살려, 취업 전문가인 김치성 교수님과 함께 여러분들의 취업 경쟁력을 높일 수 있는 기회를 잡기 바랍니다.
  (김치성 교수님은 그 동안 우리 학교에서 ˂취업실전면접˃을 강의해오셨던 분입니다)
- 취업은 교양이 아닙니다. 취업에 대한 의지와 목표의식이 뚜렷한 학생들이 본 수업을 수강한다면 많은 도움을 받을 것입니다. 특히, 이 강의는 졸업을 앞둔 4학년과 막학기 학생들이 취업을 준비하는데 최적화된 강의 입니다.
- 본 과목을 통해 세 가지는 확실하게 얻어갈 수 있습니다. 기업에 지원 가능한 수준의 실질적인 입사지원서(자기소개서)의 작성과 시나리오를 기반으로 한 면접준비 노하우입니다. 그리고, 수업을 통해 직접적으로 기업을 선정해 지원할 수 있습니다. 이를 통해 취업의 확률은 물론 자신의 취업 경쟁력을 향상할 수 있습니다."
